,comment,sentiment,
21,harry sir aap jitna hamlogo ke liye sochte hain utna to ham bhi hamare liye ni sochtethank you gurudev,appreciation,
22,samay raina is op,appreciation,
23,loved this one more of this rice and chicken with oriental flavor,appreciation,
24,great jobplease do these sort of videos more often,appreciation,
25,awesome as always i found this one particularly interesting because it was well documented and went rather in depth it shows that you can always do something to spice up your projects on a different note how many hours do you actually work to create one video it is really incredible how youve kept up with consistent uploads for over a year and i am just curious about how much time this takes for you,appreciation,
26,lets help ken reach k,appreciation,
27,thank you for this this is very helpful,appreciation,
28,i wish nightfoxx won,appreciation,
29,subscribed minutes into really insightful d,appreciation,
30,after sikkim i really really love the culture and people of meghalaya especially the khasi people cinematography at it s peak love your work lots of love from sikkim,appreciation,
31,uuuuuuuuuuu i want that sweater,normal,
32,thanks for sharing looks good i started to use wix and it is a time saver,appreciation,
33,watched these when i was making my own resume for internships super helpful,appreciation,
34,thank you very much very creative graphs the most interesting was how you used dictionary for multiple answer questions,appreciation,
35,thanks for sharing hearing someone else made it the way im trying to get through it really helped me to know im on the right path,appreciation,
36,miss czechia beautiful too,appreciation,
37,this is very informative thanks a lot ken special thanks to tina her yt channel is so amazing with very helpful content thanks guys,appreciation,
38,you are amzing one of the best in the world,appreciation,
39,great video ken i like how you focused on the findings and not just the model its something that people dont talk about but we need to give it more focus keep up the great work,appreciation,
40,hello mr best,normal,
41,beautiful view of dal lake entertainment travel travelvlog shortsvideo shorts,appreciation,
42,not bad at all for an algorithmgenerated name i would have never known if not for this video,appreciation,
43,hey man love your channel glad to see that i am not the only person that struggles with daily time management i am currently experimenting with the pomodoro technique and have tried a timekeeping device timeular that tracks how much time i spend on a certain topic any favorite techniquesdevicesapps that you use to stay on your game,appreciation,
44,i have also read the combo cal newport james clear matt walker the have radically reahaped me and following their advices during the past year has generated some serious improvements in my life,appreciation,
45,this is really tons of value,appreciation,
46,great clarification ken not only for data scientists but also for other professions in the world were living today plagiarism is easy to do and i believe that most people do it without realising so clarifying this is important,appreciation,
47,a huge respect to you for bringing content that can help men in this area,appreciation,
48,i love u rahul gandhi sir from sri lanka,appreciation,
49,i am a big fan,appreciation,
50,thanks for watching my video everyone hopefully it burns the concept into your memory ha i know i wont forget making this one,appreciation,
51,thanks for this useful roadmap from today i am following this love from pakistan,appreciation,
52,st view love you bro,appreciation,
53,kalyan benergy ka bhashan jabrjast tha gaurav gogoi and kalyan benergyraja,appreciation,
54,thats sooo cool thanks ken for sharing,appreciation,
55,i can see randy marsh has learned you something,appreciation,
56,maheep singh was the best,appreciation,
57,learn to code with the power of jeff deeny and the community as you can see it s quite a power,appreciation,
58,its july now lets see how many legends are still coming back to watch to this incredible video,appreciation,
59,one of the best guy out there helping beginners to boost through,appreciation,
60,thanks for having me on ken i really enjoyed this conversation,appreciation,
61,i never knew the github can do that thank you ken for that,appreciation,
62,rahul a big salut,appreciation,
63,god help me don t ve finance to tour these wonderful countries make me a miraculous day one day to visit and see god s wonders amen,normal,
64,bhaiya in sab se achha oneplus nord hai jo abhi ka mil raha hai,suggestion,
65,glad i found your channel pretty much gave me a roadmap for getting into the field i m an analyst now but would definitely like to do sports data science seems like a dream job,appreciation,
66,thank you so much for making these very informational and insightful videos i m a rising college freshman and i foresee myself watching all your videos as i begin selflearning data science this summer break,appreciation,
67,i never thought about simulating games before definitely going to give it a try,normal,
68,i am using this since month but actual price by bajaj card amp really one of the best budget tv colour contrast is really awesomeif u will run it on k it will definitely give us cinematic experience good job done by samsung,normal,
69,hey ken this was an amazing video im just starting with ds and this helped a lot i also sent a mail to you can you please check that thanks for all the great videos too keep it up,question,
70,very nicely explained planning to follow the roadmap in the upcoming week keep up the good work,appreciation,
71,i am watching from bangladesh i have watched many of your videos your videos are really beautiful take my love from bangladesh,appreciation,
72,what a fantastic and interactive way to increase engagement,appreciation,
73,hey i just started watching your videos great content looking forward to follow this series fyi you are awesome,appreciation,
74,clever bio on his github nice example to refer back to as im learning more each day,appreciation,
75,yeah i took c as my first real coding language by accident and it was up and down but after learning it everything else was easier for me to grasp regardless of what language you start with i highly advise everyone to learn programming logic first and get used to stack overflow if you know the question they have an answer,appreciation,
76,thanks ken keep up the good work,appreciation,
77,as soon as i saw a notification i clicked on it to see what actually happened to you ken but its good to share your incredible journey with us lots of stuff to learn from your journey thanks once again for sharing with us the last part of the video was a bit scary but your smile made it amazing to be continued,appreciation,
78,happy doctor s day to you sir god bless you,appreciation,
79,your videos are very useful and provide lots of information i have received lots of help after watching this post please continue to share this kind of information thank you,appreciation,
80,congratulations ken for k i was there in live stream initially it was great,appreciation,
81,back in i cooked his sublime scrambled eggs for the first time it ruined scrambled eggs forever as that s the only version i can eat now,appreciation,
82,bien echo dim,,
83,thanks ken for another great video agreed great analysis by daniel and its amazing that he can do this in just months of coding,appreciation,
84,excited to join this with you hopefully days becomes days p,appreciation,
85,ini luarbiasantah mengapa saya menangis menonton ini,,
86,been waiting for this video to anyone reading this if youre looking to break into data science in i recommend subscribing to kens channel and following his advice back when covid started in i was looking to break into the field and i had no experience no projects and i didnt know where to start months after subscribing to kens channel and soaking in all of his advice through his videos i got a job as a data analyst im living proof that this channel is all that you need to get started thank you ken and i cant thank you enough for the doors you have opened for me,appreciation,
87,k iqoo z pro curve displaydm w chargingag glasspremium look and feel,normal,
88,the stir fry is definitely authentic,appreciation,
89,these are great tips for me since i myself work from home also the two articles you listed in your description are eyeopening to me,appreciation,
90,i subscribed to your channel after watching an informative and proper road map in the ai journey i appreciated your efforts,appreciation,
91,the last guy was the best wholesome person the drake moment,appreciation,
92,best video looking forwars to your vidoes,appreciation,
93,visuals are stunning,appreciation,
94,love you rahul bhai,appreciation,
95,im a business student who is just starting off his journey to become a sports analyst because i love football thank you so much for this amazing video ken its really very helpful,appreciation,
96,really very neatly done project i am checking his project and reading all the descriptions its very explanatory thanks ken jee for making video on this one also thanks for qa session at the end,appreciation,
97,great video ken this is insightful,appreciation,
98,hello saurav joshi ne apne youtube channel ka naam aapko bhej raha hun mera naam sachin sharma hai lekin mera naam sachin sharma hai,appreciation,
99,hmaara pyara bharat,appreciation,
100,ha this is great im still in grad school for stats but hoping to one day get a data science job though maybe ill do stat consulting first then go into it idk love your channel though man its made me want to start one of my own,appreciation,
101,good to know i know i cook just like ramsey with my eggs,appreciation,
102,this is literally the first video im looking on data science and i was a little bit scared of beggining it but you gave me a lot of confidence when giving these resources and tips thank you m,appreciation,
103,youre the man not only highlighting great courses to use and the general way to go about growing in the field but also the words of encouragement for a newbie like me have been extremely helpful thank you,appreciation,
104,thank you so much i cannot believe i didnt realize how helpful kaggle is,appreciation,
105,maheep ji awesome yaaaar,appreciation,
106,you are amazing and inspiring much love,appreciation,
107,k fps front camera video recording at this price is simply amazing,appreciation,
108,very nice gate wallah sir,appreciation,
109,hi ken im pursuing a masters in applied statistics and data analytics with an emphasis in biostatistics i find that it might be overkill for doing data science my original goal was to apply learned knowledge as a biostatisician but throughout this entire year ive just been more drawn to data science and its business applications and am now leaning towards the business analytics concentration nonetheless super stoked for the future and truly enjoy watching your channel only a matter of time until you explode ps also calculus was the first class i was not able to pass and also recovering from it lol,appreciation,
110,thanks a lot for reviewing this ill definitely improve in the areas you mentioned and much more,appreciation,
111,wowwhat a videoits one of the most powerful directional video i saw till now thank you for this powerful video,appreciation,
112,hi im about to start a masters in data science in september this has been really useful,appreciation,
113,nord ce sabse best hai,normal,
114,bro you have no idea how many times i have seen this video maheep sir was best karma is bitch n mummy kaisi hain,appreciation,
115,i swear a god this guy could elevate even the little caesar s pizza a horrible food to an absolute legendary status food,normal,
116,ken this is another great and incredibly useful video,appreciation,
117,i watched times maheep sir asome basti,appreciation,
118,kushagra bhai ne hasa ke pet dukha diya,appreciation,
119,for story time like this,normal,
120,subscribing him bcoz he speaks the truth luv from pakistan broexpose thm all,appreciation,
121,you are great,appreciation,
122,the kaggle competitions courses are great,appreciation,
123,i just subscribe,appreciation,
124,added the project list to my watch list for june this video is right on the time when i need it thanks for sharing ken,appreciation,
125,wow no need for me to travel abroad just watching your videos made my life and my day worthy by seeing these beautiful places in europe so beautiful and i couldnt express my innermost feelings watching your videos thank you for sharing your stanning and wonderful videos hope to see more from the philippines,appreciation,
126,i give you five star for this video i agree with what you have said for corp hr who put such rocky assessment management to do such idea in the first place then the question why we say degree in college or certification in boot camp created by pro in the field and not hr clerks in a corporate thanks,appreciation,
127,editing mst hoti hai video me,appreciation,
128,hey ken its very interesting as i am beginner it makes me more curious to learn new concepts and i am following all your playlist,appreciation,
129,num in glass bridge nightfox your a great man,appreciation,
130,oscar level acting acting ke badshah ho kasam se,appreciation,
131,k subscribe ke liye thankyou so much,appreciation,
132,the qa session at the last was very important got the answer to my own question about beginners projects thanks for answering that question ken,appreciation,
133,thank you ken youre making my move from an accountant to a data scientist much more structured and informed,appreciation,
134,cameraman bahut acchi acting ke,appreciation,
135,our europe is beautiful greetings from greece to all european brothers,appreciation,
136,nice video love from nepal,appreciation,
137,delicious meal thank you,appreciation,
138,wow very nice sharing,appreciation,
139,thanks for the awesome analysis i think data science is still on the rise i think because its a bit hard to get into the industry especially for beginners makes it seem like its on the decline,appreciation,
140,amazing country amazing vidio,appreciation,
141,no other state can be beautiful like this,appreciation,
142,i am your biggest fan in the world,appreciation,
143,bro what an awesome roadmap i like the way you presented for people who dont know how to transition and start ai,appreciation,
144,man europe is absolutely stunning i think i take it for granted because i live here,appreciation,
145,thank you so much for this series i am planning on transitioning to data science and im new to its programming aspects how did you know what to do at i figured that was html code do i need to learn html to be able to spot and fix those errors thanks again ken,question,
146,thanks this has been more useful than i thought i was the one that went straight to the biggest guy in the prison which in my case was c i just kept studying the language without any solid goal and this video gave me some broad image of my options it s like u brainstormed all the keywords in my head thanks,appreciation,
147,im watching all the series in a night perfect for the beginners greetings from barcelona,appreciation,
148,great tip about putting accomplishment then method subscribed keep it up i like the k upload too,appreciation,
149,jonathan bhai plez mera game play dekhlo bhai pls pls pls,question,
150,simplest tutorial to use git git clone kenyoutubechannel git add mycomment git commit commit to thank ken git push,appreciation,
151,you made my day sir your video is quite informative and interesting i would ask you what would you recommend for a freshman economics student to do right now to be a competent data scientist i am almost done with all the basic things in r so far,appreciation,
152,u r mr india sir,normal,
153,hola ami mencanta videos,,
154,very informative vedeo,appreciation,
155,the podcast channel the podcast clips channel thanks for tuning in everyone and im excited to share this new journey with you,appreciation,
156,i can make the cleanest looking best tasting scramble eggs in minute in a microwavevery easy to do,normal,
157,main aapka bahut bada fan,appreciation,
158,european architectures are beautiful my favorite european countries that we visited are switzerland and italy,appreciation,
159,mummy kaise hain bhai has has ke pet dukh gaya,appreciation,
160,wow it s really nice it s very attractive,appreciation,
161,thanks a lot of insight from this,appreciation,
162,amazing session sir,appreciation,
163,thanks for watching everyone definitely check out the data professors channel as well more great visuals of his can be located here,appreciation,
164,no doubt about communicating with professors to get an experience i was able to get a machine learning research position as an undergrad at one of my cs professors lab also other pieces of advice are priceless thank you ken,appreciation,
165,this is an amazing channel glad i found it i m planning on majoring in data science this fall thank you for all the videos,appreciation,
166,subscribe to grow along an canadian international data science student,appreciation,
167,gets a text message from the manager at pm can you please check your email real quick classic one lol,question,
168,wao what a great video will help me a lot in how to organize the code daysofdata,appreciation,
169,wow so beautiful,appreciation,
170,tarzen uid jonathan bhai aapse ummid ki aap mujhe royal pass de de,question,
171,my man kushagra killed it,appreciation,
172,thank you so much your tutorial is so helpful,appreciation,
173,everything aside there is noone like abhishek upmanyu man,appreciation,
174,i truly love your channel keep doing the best work such creative videos you ve on this channel just subscribed officially the first viewer of any video on this channel i ve never witnessed such awesome editing as this one following your channel from the last two years interesting content you re working so hard may all your wishes come true congratulations on your first k followers may you reach k soon whoever is reading this never give up god is with you when watching your videos i accidentally hit like and never knew when the moment you came here is at love this video i think i ve watched it four times,appreciation,
175,congratulations for this partnership you both are creating awesome content and helping a lot of people,appreciation,
176,ken i really liked this video this is my first visit to the channel ive been setting data science learning goals and ive been doing it at an intense pace for about months now this video was very important to me as i was able to review my goals and check if im going the right way it seems that i need to get my hands on real projects and show what i can and cant do always learning thanks,appreciation,
177,we want it,normal,
178,all i can see and hear is papaya papaya and papaya great video ken always wondered about this,appreciation,
179,i am watching your videos from past hour and it has cleared a lot of doubts of minethank you,appreciation,
180,bro you are very talented why you in this show,question,
181,best reality show,appreciation,
182,awesome place it s a heaven in the earth,appreciation,
183,so should dream prestonplays and love your videos,appreciation,
184,excellent channel the information this guy gives is just golden keep it up and thank you for teaching us how to dress in a good manner,appreciation,
185,awsome ken you really gave so much effort love it please at the end could you make an extra video for github uploading as well last time i got lost on that step love it love it,appreciation,
186,thank you ken for providing this videoyour new subscriber from india,appreciation,
187,thanks beutiful video,appreciation,
188,thanks for your inspiring tips,appreciation,
189,code basic hindi looks like very deep dive thought how to people bring up opportunistic we are in the era if you fail to prestigious university it doesn t matter take opportunity for such wonderful person who are contributing in free source of learning salute sir,appreciation,
190,cool ideas thanks ken,appreciation,
191,hi mr beast,normal,
192,ken youve made a great niche that fills a big need thanks for your support of the emerging data science community,appreciation,
193,maheep singh and shreeja killed the show,appreciation,
194,great ken i will try my best to again participate in daysofdatareally excited to share another exciting journey exclusively on twitter,appreciation,
195,i like that mountains view in your backyard ken that me little nostalgic about my hawaii trip few years back and nice hp z setup and congratulations on your k silver button,appreciation,
196,maheep sir best hain sabse sbse boring dua,appreciation,
197,greece is simply magical friendly people amazing food beaches mountains monasteries so many islands that are all unique,appreciation,
198,look like venice,normal,
199,man this series you made is the most important video in my learning by far thanks to you i realize im already can start building projects and work more on my portfolio i was always thinking im not ready enough but with your series i realize that i know what to do i cant say how much your series had helped me thank you,appreciation,
200,bhai saahab kya updated version h is bar rahul gandhi ka thanks to speak on the behalf of all the people of india,appreciation,
201,respect to rahul from nepal,appreciation,
202,super helpful videolinks thank you so much for sharing i finished the one thing last week and was super happy with it definitely my preferred type of book i just wanted to know where you found these books were they recommendations from colleagues or possibly a list of books found on a website also if you had any recommendations on books to learn more about statistics i would love to hear about them i took statistics in undergrad which was a few years ago and am in the middle of a career change and would like to brush up on the theories and the essentials for data analyticsdata science,appreciation,
203,wow best video i ve seen for learning date science analysis,appreciation,
204,really love your approach man,appreciation,
205,bhai yr aap kya hi bnde ho itna kuch smhja ke bhi apne main topic pe ek dum se aa jate ho mtlb main topic bhulte nhi ho wa bhai kya bat h,appreciation,
206,podcasts are really helpful listening to people who have succeeded is really inspiring,appreciation,
207,maheep ko sun ke maza aagaya,appreciation,
208,quality content from ken thank you,appreciation,
209,this is the reason we voted for congress well done rahul bhaiya i ll sleep peacefully tonight,appreciation,
210,very good tutorial i love the way you explain things its easy to understand,appreciation,
211,pursuing this thanks for the information enjoying your content,appreciation,
212,manoj sir please gev or me,question,
213,love u sir,appreciation,
214,looking forward to work on this thanks ken,appreciation,
215,rahul gandhi must be the pmhe is young and intelligent,normal,
216,new style unboxing op hai bhai,appreciation,
217,twins was really talented,appreciation,
218,i love you kashmir,appreciation,
219,thank u sir,appreciation,
220,finally you started to bring amazing people eagerly waiting for entrepreneurs,appreciation,
221,after my first year of software engineering with no coding knowledge i feel glad that my course forced me to learn java and c first thing i had to learn algorithms and clean coding principles i believe this will help me in the long run,appreciation,
222,maine years pehle samsung inches k smart android tv buy kiya thaabhi bhi mast chal raha haibutprice rs ka thaaur ab ye tv dekh kar lag raha hai ki kash abhi leta to sasta miltawowvery nice,appreciation,
223,wah kya baat kahi rahul gadhi ji ne,appreciation,
224,verry articulated and on time speech,appreciation,
225,nice informations thanks quite a lot sir ji,appreciation,
226,dont kill tony,normal,
227,thanks for value information,appreciation,
228,as a data scientist myself i totally i agree with everything you just said,appreciation,
229,undoubtedly this is unparallel natural beauty queen place i love this video,appreciation,
230,maheep sir really cooked as hell,appreciation,
231,you are absolutely right rahul gandhi ji,appreciation,
232,gordon is god,appreciation,
233,god bless us very nice to travel around the world in god all things are possible po thanks po,appreciation,
234,you very nicely explained all the mental barriers and how to overcome them thanks for helping all of us ken,appreciation,
235,hi ken your videos are wonderful i have been going through a couple of your videos and found them quite informative relevant thanks for sharing your diverse experience here and giving us a head up please keep putting new stuff,appreciation,
236,thank you sir to make this video i cant explain it in words how much information in this video which is really helpful for me to become a good data scientist thank you so much,appreciation,
237,thank you harry,appreciation,
238,love from srilanka,appreciation,
239,the place is good but climate is very very good dil karta hai ki bihar se meghalaya chale jaye,appreciation,
240,ajju bhai big fan big fan at the game on sunday,appreciation,
241,you are a pure heart person you have elaborated each and every step comprehensively,appreciation,
242,really one the best piece of heaven,appreciation,
243,brother you are awsom,appreciation,
244,my guy you are surely underrated thanks i can finally wrap my head around what data science is,appreciation,
245,salute to them who is using more than year old phone,appreciation,
246,kushagra is actually a good comic and have good jokes he is underrated but he will do good in his career maheep sir is also the best mummy kaisi h stole the show,appreciation,
247,jannat h bhai jannat,appreciation,
248,hey ken thank you so much for this appealing effort that you are doing,appreciation,
249,bro i just found your channel and i gotta say refreshing as heck straight to the point good invaluable advice esp at the end loved that,appreciation,
250,jai rahul tey rahul,normal,
251,oh man ken im just starting my ga capstone project and i was always wondering when you would review a capstone project this is awesome maybe ill shoot you a message when my capstone is done after october thanks always for what you do,appreciation,
252,as usual excellent content,appreciation,
253,mian aapka video ye second time dekh rha hu,appreciation,
254,thanks kenthanks for sharing,appreciation,
255,aiy hai wa bhi kay jabardast video ha l like you video from karlay,appreciation,
256,love you bro love from odisha,appreciation,
257,padha likha arpit bala,normal,
258,tim never miss,appreciation,
259,nice class sir,appreciation,
260,bhai mujhe aapse vs tdm match khalna hain please bhai please,question,
261,priyangka gandhi ol sonial gandhi jindabad yhan kyou yes ok rahul,appreciation,
262,twins vro rohit and ronit op,appreciation,
263,this is very clearly road map,appreciation,
264,kushagrasrivastavaa you did the best among all bahut mazaa aya dekh kar keep it up,appreciation,
265,sir you are simply awesome to help student like us out here by putting all the concepts into simple and understandable english terms keep doing what ur doing u have a lot to explore in life,appreciation,
266,great job i really like how you showed your process and tools streamlit is new to me apis can be a pain i need to practice more using apis but this definitely opened my mindset on taking on a project dealing with getting data using api to be able to problem solve some of these issues thanks for sharing,appreciation,
267,thanks for the great content,appreciation,
268,vah vah vah vah beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful best best best best best best best best best best best best best best best best best best best best best best,appreciation,
269,love from assamguwahaty,appreciation,
270,great storytelling and expert analysis would definitely enjoy seeing these data story type videos more,appreciation,
271,looks quite nice,appreciation,
272,iqoo z best hai,appreciation,
273,he s very right about this fake promotions i know some of them who does the same,appreciation,
274,great first video back i started my days for im excited to see what i will be able to do by the end,appreciation,
275,congrats to m views,appreciation,
276,thanks so much,appreciation,
277,can you please provide links for what you ve wore in this video as they are stunning and i wanna buy them for my boyfriendohhhh anddddyou are very hot ranveerrrr can t take my eyes off you,question,
278,i did it ken i graduated from my masters degree in stats today feels a bit weird to be done with school but now im starting a new chapter in life while im starting out as a statistician at a biotech company i hope to move into data science in the coming years that said i could get some papaya data analyzed for you so you know where to get the best papayas or the optimal growing conditions for them if you want your own supply,appreciation,
279,i have just lost my words this might be the best video in the whole world on complete front end guideline may the almighty keep you well and empower you with more knowledge,appreciation,
280,great video as always its great to see someone do it from scratch,appreciation,
281,nice pan love it,appreciation,
282,dressing well doesn t have to be complicated because of tim dessaint,appreciation,
283,bro got so many views,appreciation,
284,ken i appreciate you,appreciation,
285,thank you bhaiya kashmir dikhane k lie,appreciation,
286,great stuff i am in the process of hopefully moving into the data science world for my career and your videos are huge helps in my research to learn and understand in order to make the correct decisions for myself and career keep them coming,appreciation,
287,all of ur videos are really helpful and educational hope your channel grow real fast,appreciation,
288,we want fashion bhaiya back,normal,
289,i love how supportive the comments are actually a wonderful change of pace from the norm thanks everyone,appreciation,
290,comedianmaheepsingh best best,appreciation,
291,i love you mr beast,appreciation,
292,thanks for the promo code,appreciation,
293,beutiful dish im def making this for the weekend cheers mate,appreciation,
294,haha hilarious and great insights on this mysterious occurrence of this seemingly phone listening in to us love the new video format,appreciation,
295,ahahaha tina huang ask ken to do a full on cooking video i still remember him eating the soup dumpling during your livestream and you appreciating his cooking skills,appreciation,
296,well said rahul gandhi keep it up,appreciation,
297,maheep sir and kushagra both are the best,appreciation,
298,the best joke is light ka aviskhar hua or maheep ji kapda bdl rhe hai,appreciation,
299,we need more like this,appreciation,
300,hey bro just wanted to let you know that months of studying later i may have a job lined up i did the interviews and skills tests just waiting on the word fingers crossed,appreciation,
301,beautiful video bahut psnd aaya mujhe,appreciation,
302,bro you are really good at it k is a cake,appreciation,
303,greece has it all sea mountains lakes rivers green modern ancient good food great people beautiful places ideal destination for solo traveling and family,appreciation,
304,awesome this is a very good concept to share and you are right most people watching this are self directed thanks for sharing,appreciation,
305,great time management i wish i could be as productive as you well got inspiration so have to go forward with it then,appreciation,
306,you go ahead we will support you iu,appreciation,
307,amitshah soch rha hai ab kaisa nafrat failaya jaaye ayodhya me sachmuch achhe insaan rahte hai aur bhgwan bhi hai jai sri ram,appreciation,
308,i have samsung k neo uhd quot its really good tv,normal,
309,please support me jonny army,question,
310,great bangladesh need a person like rahul gandhi love from bangladesh,appreciation,
311,thanks for sharing and greetings,appreciation,
312,very very helpful contentsthank you d,appreciation,
313,very good advice i like the honest detailed responses will definitely be dropping you a message when i get some more work done mechanical engineer,appreciation,
314,watching this made me hungry,appreciation,
315,ajju bhai mera bhi naam lijiyega ago video mein rohan,appreciation,
316,love the analogy ken everyone can relate to it will give it a try,appreciation,
317,thank you ken im really enjoying your videos and podcast as i begin my data science journey,appreciation,
318,shri rahul gandhi ji became an angry young man leader of people lop the majority people of india love him and we wish and pray for his success people s sinciar prayer can do anything that s the power he has thanks,appreciation,
319,i am your student sir happy to see you become a comedian,appreciation,
320,harry bhai abi replit me code suggestion deta ha wo b kafii fast jo abi socha hota ha replit ny suggestion me dia hota haye code,normal,
321,i think newly made indian infrastructures are at its lowest,normal,
322,ajju bhai is free fire pro player king,appreciation,
323,great always you give us delicious recipes,appreciation,
324,loved the vlog style great place and i like how you joke around with your dad god bless you both,appreciation,
325,bohot badiya vlog its not a vlog its a discovery program love it,appreciation,
326,dream is hacker if you know you genius,appreciation,
327,this video is a great help,appreciation,
328,rahul is being badass,appreciation,
329,ive watched your videos a lot that i forgot to subscribe btw i did itit felt so bad,appreciation,
330,i m watching this after landing a data scientist position at my company,appreciation,
331,very very truethank you,appreciation,
332,excellent knowledge sir,appreciation,
333,good to know,appreciation,
334,loved each and every point you mentioned especially about farmer s loan and neet looking forward for this kind of changes more inside parliament literally enjoyed when modi got rostered,appreciation,
335,kerla is so beautiful,appreciation,
336,i love the runny yolk i do day,appreciation,
337,rahul air sab mehnat se hi hota hau net aap ab bane ho pm tum hi ho,appreciation,
338,spit my water out when you came out the box at congrats again on becoming a global ambassador for hp ken,appreciation,
339,what a comeback raga,appreciation,
340,mrbeast help me i ll try my best atleast,appreciation,
341,great content as usual i love notion and cal newports books as well of course tracking pappayas has to be in the habit tracker,appreciation,
342,bro we want more of this show,appreciation,
343,we travelled in the month of september southern travels booked from new delhi karolbhag good travels all measures taken by travels our trip to jammu kashmir is very good,appreciation,
344,modi to sri ram ko hath pakad kar chalta hai modi hai to mumakin hai,appreciation,
345,jis pr modi aur bjp ko naaz hai rahul usi se bjp pe waar kar raha hai great kisi me himmat nhi ho sakti bas rahul hi aisa kar sakta hai,appreciation,
346,hi there i just found this channel in this week and i wanted to say thank you for introducing me to google colab i was looking for a way to practice without downloading packages to my computer thank you so much,appreciation,
347,shreeja actually did good but than kushagra and mahip sir came and did outstandingbest episode of this show,appreciation,
348,funniest video on coding hands down i learned it laughing,appreciation,
349,kushagra bhai to chhupa rustam nikla,appreciation,
350,i wish i came across your channel earlier i wouldnt have wasted so much time finding the right resources amongst the overwhelming amount of resources out there for learning data science,appreciation,
351,thanks ken you are the best i manage to get my hands dirty but i am curious about starting up my own scraping using another problem can i still make use of the same function,appreciation,
352,sapnap gogo go,normal,
353,through watching your video i realized that my school ds project which was to compare error rates of different classification algorithms wont count as much as the topics you mentioned i should really work more on new projects as a recent undergraduate i want to start with titanic classification project and house price regression project sounds fun too thanks for the recommendations,appreciation,
354,thank you so much sir for this type of content it s too helpful for us love you sir love from odisha,appreciation,
355,what an absolute gem of an informative video,appreciation,
356,bruh have some choco by dolly chaiwala,appreciation,
357,plz didi you make one shot on django i always prefer your video because your teaching way is very good i easily catch up,suggestion,
358,i love sports this is amazing ken,appreciation,
359,thanks you so much for everything,appreciation,
360,your script writing is so amazing it teaches many thing if listen it carefully,appreciation,
361,noice video as always,appreciation,
362,kushagra srivastava was lit,appreciation,
363,thanks ken this is a helpful start to setting up a personal life optimization pipeline,appreciation,
364,ek na ek din yaha pe jaunga,normal,
365,very helpful topic thank you,appreciation,
366,hey ken im a freshman double majoring in cs and stats also pursuing a data sciencerelated career just thought you should know that i as a college student find your channel extremely insightful and valuable wishing the best for you and your content coming into,appreciation,
367,this is just a start your channel deserves much more thank you for your advice and motivations,appreciation,
368,decibal crew black jacket guy great performance,appreciation,
369,great great bhai very impressive video bhai,appreciation,
370,i got this tv at rs,normal,
371,another great video showing us how to think and plan rather than just spitting out explicit answers excited for the future installments,appreciation,
372,hi ken great video i m going to be getting my masters in business analytics starting in the fall and am trying to work on some projects this summer to get some more experience my goal is to work as a data analyst for a couple of years and then transition into data science your channel is very informative for understanding this field and how to leverage kaggle and github because my current experience level is just misanalytics undergrad and internships it s really helpful to hear about these topics from someone with experience that isn t a professor keep up the great work,appreciation,
373,i first learnt about kaggle when i did a course with jovianml just used the free gpu hours but i will definitely get more involved with the community,appreciation,
374,thanks for another great video ken like the new lighting setup,appreciation,
